,Metabolite,Coefficient
0,datp_c,-0.012215685700339098
1,dttp_c,-0.012578844449428759
2,dctp_c,-0.013659391084477245
3,dgtp_c,-0.011993613617708867
4,utp_c,-0.15379576979105725
5,ctp_c,-0.1671601704512458
6,gtp_c,-0.16306640467110822
7,ala__L_c,-0.7866865810122878
8,cys__L_c,-0.03986681905592248
9,asp__L_c,-0.286019444825156
10,glu__L_c,-0.3088742159475492
11,phe__L_c,-0.12592356497070842
12,gly_c,-0.8068327457540323
13,his__L_c,-0.07909538580101926
14,ile__L_c,-0.29079646817520033
15,lys__L_c,-0.2743566703314616
16,leu__L_c,-0.41251515857770904
17,met__L_c,-0.10723969052764211
18,asn__L_c,-0.18757538475910354
19,pro__L_c,-0.22635269540826172
20,gln__L_c,-0.16176662571366865
21,arg__L_c,-0.18048710436993537
22,ser__L_c,-0.30382792752346605
23,thr__L_c,-0.30589419712897964
24,val__L_c,-0.44694238390821955
25,trp__L_c,-0.02496595423787938
26,tyr__L_c,-0.08853072858049255
27,pe160_p,-0.05984233670391253
28,pe161_p,-0.030710743257354293
29,pe181_p,-0.013250952451946145
30,pg160_p,-0.014826578855136979
31,pg161_p,-0.013732749319021109
32,pg181_p,-0.009098089940190764
33,atp_c,-89.23769948488352
34,h2o_c,-83.63746540313328
35,adp_c,89.08201514974198
36,pi_c,89.08201514974198
37,h_c,89.08201514974198
38,ppi_c,0.6901542149069154
